PC 1,PC 2,cluster,0,1
0.996844425,-0.058993556,1,-0.132971375,0.014879387
0.385677505,0.258954954,1,0.628591955,-0.070338918
-0.077597478,-0.207877067,0,,
1.00079191,-0.200173829,1,,
1.019790794,-0.200596561,1,,
0.606714952,-0.156519574,1,,
0.672964856,-0.129194877,1,,
1.690768841,-0.156213295,1,,
0.745609815,-0.14677502,1,,
-0.144294675,-0.168001699,0,,
0.289400107,-0.117816985,1,,
0.097366206,-0.305953463,0,,
-0.145658999,-0.184800942,0,,
0.062435816,-0.283738605,0,,
0.060657321,-0.24740286,0,,
0.587029736,-0.200669528,1,,
0.851184803,-0.174770744,1,,
0.706888244,-0.225893107,1,,
0.97309286,-0.284095975,1,,
0.127604913,-0.188176212,0,,
0.210409717,-0.287026938,0,,
1.690803604,0.067294119,1,,
0.478006665,-0.217081046,1,,
0.628820245,-0.179134932,1,,
0.315324548,-0.202158918,1,,
0.697267983,0.032840861,1,,
-0.064893361,-0.134701447,0,,
0.314438421,-0.307262,1,,
0.111454955,-0.17538596,0,,
0.005777255,-0.244462569,0,,
-0.166365316,-0.271246935,0,,
0.001231897,-0.258840007,0,,
0.296274037,-0.339813722,1,,
-0.345410802,-0.26860132,0,,
-0.18547147,-0.268022001,0,,
-0.068839679,-0.255440121,0,,
0.091345057,-0.280048312,0,,
0.297959236,-0.143469891,1,,
0.246758935,-0.281296971,1,,
0.295561464,-0.283971508,1,,
0.346399591,-0.239973546,1,,
-0.182191411,-0.249177751,0,,
-0.37763155,-0.289426399,0,,
0.274561898,0.531164938,0,,
0.129372876,0.253473579,0,,
-0.241747495,0.011558597,0,,
0.353467583,0.361892605,1,,
-0.05536551,0.274008182,0,,
-0.012420745,0.142848309,0,,
0.057311452,0.305233958,0,,
-0.104141737,0.119037783,0,,
0.028607081,0.213423864,0,,
0.042301807,0.164842158,0,,
-0.13354036,0.12086787,0,,
-0.093820167,0.065975075,0,,
-0.376869474,-0.1330481,0,,
0.553669576,0.169038125,1,,
-0.292039174,-0.038057534,0,,
0.026346684,0.246440224,0,,
-0.292217205,-0.096847814,0,,
-0.197277662,0.050730796,0,,
-0.168343935,0.215503937,0,,
-0.284623908,0.013781459,0,,
-0.22312507,0.063184752,0,,
-0.44799533,-0.225544097,0,,
0.474728802,0.162512464,1,,
-0.126516948,0.17507291,0,,
-0.297924342,-0.071438259,0,,
-0.045562606,0.450933682,0,,
0.029939264,0.202214728,0,,
-0.010687267,0.280703994,0,,
0.090619459,0.199471822,0,,
-0.167472811,0.074847218,0,,
-0.277739018,-0.037098015,0,,
-0.205980961,0.114441187,0,,
-0.016071993,0.231457206,0,,
-0.220050863,0.063932022,0,,
0.116686045,0.044939497,0,,
0.324015846,0.249898494,1,,
-0.308587104,-0.050925138,0,,
-0.14477438,0.035756497,0,,
-0.125291845,0.094975706,0,,
-0.309176295,-0.057951172,0,,
-0.280299286,0.001667845,0,,
-0.142784016,0.040652393,0,,
0.221793263,0.253966825,0,,
0.144355796,0.101041423,0,,
0.003191119,0.24850583,0,,
-0.017455501,0.202859028,0,,
0.496568076,0.225093955,1,,
-0.261159165,0.039208542,0,,
-0.188244802,0.109611432,0,,
-0.139888764,0.196774861,0,,
-0.194733496,0.090396312,0,,
-0.277552246,0.007880262,0,,
-0.239275987,-0.12276162,0,,
-0.24256997,0.031966492,0,,
-0.121676318,0.030219842,0,,
-0.033794937,0.154571505,0,,
0.117232737,0.070931856,0,,
-0.10946605,0.09136557,0,,
-0.352009135,-0.120939791,0,,
-0.221539321,-0.081189389,0,,
-0.385874296,-0.155411998,0,,
-0.195632484,0.045051017,0,,
-0.176582313,0.071175485,0,,
-0.235723584,-0.019290875,0,,
-0.087117177,0.030241009,0,,
-0.147176327,0.02953262,0,,
0.016692392,0.191789097,0,,
-0.318560858,-0.146164308,0,,
-0.229742451,0.043840917,0,,
-0.187756322,0.049991166,0,,
-0.155646549,0.051360868,0,,
-0.24154591,-0.003349209,0,,
-0.207792102,-0.002169526,0,,
-0.156796515,-0.030015674,0,,
-0.275919228,-0.047751665,0,,
-0.258852462,0.014575032,0,,
-0.285933641,-0.077445387,0,,
-0.282956671,-0.096904633,0,,
-0.301483717,-0.105407807,0,,
-0.28887955,-0.104500486,0,,
-0.261706815,-0.083790868,0,,
-0.264096712,-0.096958429,0,,
0.022420591,0.067119255,0,,
-0.101798749,0.018189444,0,,
-0.106046051,-0.105895911,0,,
-0.224466766,0.021729024,0,,
-0.129186815,0.167967968,0,,
-0.258770151,-0.096740408,0,,
-0.132121184,0.120392359,0,,
-0.155103336,0.09254835,0,,
-0.02101306,0.039271299,0,,
0.214874842,0.10672223,0,,
-0.198580186,-0.140540325,0,,
-0.253435351,-0.109567411,0,,
-0.313572964,-0.060612883,0,,
-0.220890244,-0.065123116,0,,
-0.392707194,-0.15482011,0,,
0.047516244,0.179519399,0,,
0.250164387,0.591943463,0,,
1.315278788,0.272533097,1,,
-0.131049795,0.051134761,0,,
0.060169593,0.238591875,0,,
-0.025734753,0.253324507,0,,
-0.298773241,-0.042228716,0,,
-0.023872084,0.006289284,0,,
-0.081017475,0.144796451,0,,
-0.074823328,0.185880774,0,,
-0.347006144,-0.158752859,0,,
0.028923596,0.09545169,0,,
-0.184571875,0.086882982,0,,
-0.049442236,0.23979492,0,,
-0.105068238,-0.052271294,0,,
0.35971239,0.143610995,1,,
-0.228531578,-0.059933343,0,,
0.006495458,0.017034388,0,,
-0.091371534,0.041989562,0,,
0.443888107,-0.100503737,1,,
-0.151483318,-0.011532344,0,,
-0.20351882,0.146479728,0,,
0.132586415,0.276142393,0,,
-0.271888186,-0.020692905,0,,
-0.339567986,-0.172841412,0,,
-0.054902571,0.236255758,0,,
-0.158940243,0.154803322,0,,
-0.162565203,0.053133083,0,,
-0.188676598,0.066163825,0,,
0.287831776,0.081525347,1,,
-0.424848439,-0.238110434,0,,
-0.141869797,-0.075360017,0,,
-0.336458304,-0.126751579,0,,
0.059687535,0.069209893,0,,
-0.177689054,0.165505579,0,,
-0.154205634,-0.064896914,0,,
-0.241528243,-0.05500779,0,,
-0.113207845,0.125134647,0,,
-0.264362412,-0.094555876,0,,
0.06153231,-0.106456278,0,,
-0.20103578,0.036999742,0,,
-0.386489015,-0.182930716,0,,
-0.277464509,-0.130074236,0,,
0.096508559,-0.072132318,0,,
0.069158057,0.101040163,0,,
-0.093447304,0.159575685,0,,
-0.197817002,0.047696922,0,,
-0.180386157,-0.074285792,0,,
-0.283616743,0.001877791,0,,
