id_site,site_name,category_site,total_revenue,vlr_subs,churn,rgu_ga_inj,sc_m0,sc_m0_hvc,total_outlet,cluster
28BTN003,MALAKAJI,Addressable - B.A.U,109299909,2351,2051,1425,1203,859,12,1
28BTN016,BIRINGBULU,Addressable - B.A.U,125348122,2220,924,500,652,353,2,1
28BTN017,DESA_PINO,Addressable - B.A.U,35651628,622,693,316,333,251,11,0
28JNP001,JENEPONTO,Addressable - B.A.U,79410648,1528,1710,2135,1325,734,56,1
28JNP002,TOGO_TOGO,Addressable - B.A.U,96705824,1896,2194,1364,1576,819,18,1
28JNP003,PALLENGU,Addressable - B.A.U,88024085,1517,1317,1022,1024,673,6,1
28JNP004,TOLO_SM,Addressable - B.A.U,84702770,1616,2032,1011,923,631,18,1
28JNP005,TANETEA,Addressable - B.A.U,149603316,2675,2854,2336,2094,1184,15,1
28JNP006,BALALOE,Addressable - Upgrade Site Monetize,91898956,1876,1558,985,1216,781,3,1
28JNP007,BANGKALA,Addressable - B.A.U,37635396,765,344,358,319,160,4,0
28JNP008,BARAYA_MT,Addressable - B.A.U,66610393,1443,1504,537,657,358,2,1
28JNP009,BORONGTALA_PL,Addressable - B.A.U,32768953,757,1058,589,670,268,6,0
28JNP010,TONROKASSI_TIMUR_GH,Addressable - B.A.U,31795216,610,657,236,265,175,13,0
28JNP011,BINAMU_GH,Addressable - B.A.U,39728747,646,1005,244,676,351,4,0
28JNP012,EMPOANG_SELATAN_GH,Addressable - B.A.U,38296260,834,842,550,637,234,6,0
28JNP013,BATANG_JENEPONTO_PL,Addressable - B.A.U,72291645,1487,1603,860,1009,683,11,1
28JNP014,BALANG_TOA_MT,Addressable - B.A.U,94466986,1714,1847,1519,1141,732,15,1
28JNP015,KALUMPANG_PL,Addressable - B.A.U,78627811,1688,2174,792,1522,490,3,1
28JNP016,BONTOMANAI_KN,Addressable - Upgrade Site Monetize,91197790,1798,1861,1518,1606,814,4,1
28JNP018,RD_TO_TANETEA_SM,Addressable - B.A.U,49858913,980,966,496,654,289,8,0
28JNP019,JENEPONTO_LAMA,Addressable - B.A.U,43356696,973,1144,618,812,356,2,0
28JNP021,RUMBIA_TB,Addressable - B.A.U,171533432,3432,3551,1337,2046,1232,3,1
28JNP022,BULO_BULO_TB,Addressable - B.A.U,65654314,1270,1524,774,987,549,12,1
28JNP023,TAROANG_TB,Addressable - B.A.U,75076420,1478,1441,1200,1013,635,20,1
28JNP024,KASSI_TB,Addressable - B.A.U,56838187,1248,1278,628,724,497,6,1
